Point Label	X	Y	Z	DX	DY	DZ	D
O_UPPER2	-1355.613	856.766	0	0.053	0.052	0.055	0.0
O_UPPER3	-1532.687	856.766	0	0.074	0.062	0.074	0.0
O_UPPER4	-1715.908	856.766	0	0.044	0.054	0.043	0.0
O_UPPER5	-1873.346	856.766	0	0.066	0.055	0.059	0.0
O_UPPER6	-2073.523	856.766	0	0.058	0.053	0.033	0.0
O_UPPER7	-2252.012	856.766	0	0.056	0.062	0.043	0.0
O_UPPER8	-2451.225	856.766	0	0.057	0.055	0.04	0.0
O_UPPER9	-2632.082	856.766	0	0.092	0.059	0.049	0.0
O_UPPER10	-2811.729	856.766	0	0.1	0.069	0.045	0.0
O_UPPER11	-1310.187	797.351	0	0.044	0.052	0.044	0.0
O_UPPER12	-1293.856	732.229	0	0.044	0.045	0.038	0.0
O_UPPER13	-1280.516	653.617	0	0.045	0.042	0.044	0.0
O_UPPER14	-1263.699	589.805	0	0.045	0.04	0.041	0.0
O_UPPER15	-1250.435	519.017	0	0.046	0.042	0.032	0.0
O_UPPER16	-1458.154	519.017	0	0.052	0.052	0.033	0.0
O_UPPER17	-1636.719	519.017	0	0.05	0.045	0.041	0.0
O_UPPER18	-1795.556	519.017	0	0.046	0.041	0.037	0.0
O_UPPER20	-2373.152	519.017	0	0.052	0.042	0.037	0.0
O_UPPER21	-2557.163	519.017	0	0.066	0.053	0.035	0.0
O_UPPER22	-2738.299	519.017	0	0.075	0.053	0.028	0.0
O_UPPER23	-2911.255	519.017	0	0.081	0.056	0.032	0.0
O_UPPER24	-2992.096	856.766	0	0.128	0.079	0.049	0.0
O_UPPER25	-2980.992	797.351	0	0.113	0.062	0.044	0.0
O_UPPER26	-2971.009	732.229	0	0.1	0.057	0.038	0.0
O_UPPER27	-2949.013	653.617	0	0.1	0.057	0.029	0.0
O_UPPER28	-2933.375	589.805	0	0.135	0.056	0.032	0.0
O_UPPER29	-1989.804	519.017	0	0.068	0.046	0.029	0.0
O_UPPER64	-2175.184	519.017	0	0.065	0.047	0.038	0.0
